1,6,1,1,48,47,x
2,7,2,2,49,47,x
3,13,7,3,144,141,x
4,1,4,4,192,188,x
5,11,6,5,193,188,x
6,14,3,6,147,141,x
7,9,5,7,54,47,x
8,12,5,8,55,47,x
9,4,4,9,244,235,x
11,8,0,11,152,141,x
12,13,1,12,294,282,x
10,9,2,13,154,141,x
15,5,6,15,250,235,x
16,15,0,16,204,188,x
14,13,4,17,393,376,x
18,1,7,18,65,47,x
20,0,2,20,208,188,x
19,15,3,21,209,188,x
22,12,4,22,69,47,x
13,13,6,23,211,188,x
23,1,0,24,212,188,x
24,9,0,25,119,94,x
25,4,2,26,120,94,x
26,11,4,27,309,282,x
21,12,7,28,122,94,x
28,14,2,29,311,282,x
30,10,1,30,77,47,x
32,15,2,32,126,94,x
27,11,0,33,3323,3290,x
31,14,0,34,128,94,x
34,6,0,35,270,235,x
38,11,2,38,179,141,x
39,5,4,39,227,188,x
29,14,4,40,322,282,x
37,6,5,41,229,188,x
41,3,7,42,371,329,x
36,11,7,43,184,141,x
40,5,0,44,138,94,x
42,0,5,45,139,94,x
46,7,4,46,140,94,x
47,15,7,47,235,188,x
43,3,3,48,236,188,x
49,13,3,49,284,235,x
48,8,4,50,97,47,x
50,0,0,51,3341,3290,x
51,15,1,52,99,47,x
52,4,7,53,194,141,x
54,6,6,54,289,235,x
55,2,1,55,290,235,x
56,7,0,56,103,47,x
57,11,5,57,245,188,x
60,2,3,60,295,235,x
62,5,3,62,250,188,x
63,1,1,63,110,47,x
65,7,2,65,253,188,x
67,5,1,67,208,141,x
68,12,2,68,256,188,x
69,3,4,69,304,235,x
71,9,4,71,3361,3290,x
73,4,3,73,308,235,x
74,5,7,74,356,282,x
77,13,0,77,124,47,x
78,10,3,78,219,141,x
81,12,4,81,222,141,x
83,15,5,83,177,94,x
86,0,7,86,180,94,x
82,12,1,87,134,47,x
87,0,3,91,279,188,x
95,15,4,95,189,94,x
88,0,6,96,331,235,x
96,10,2,97,238,141,x
100,9,3,100,335,235,x
101,14,5,101,242,141,x
102,8,7,102,243,141,x
75,7,0,103,432,329,x
103,13,5,104,339,235,x
105,9,6,105,199,94,x
106,5,5,106,153,47,x
108,7,7,108,343,235,x
107,9,1,110,251,141,x
117,7,1,117,399,282,x
84,4,2,120,167,47,x
123,10,0,123,405,282,x
120,4,0,125,172,47,x
126,3,5,126,314,188,x
128,10,1,128,316,188,x
129,14,6,129,364,235,x
131,0,4,131,272,141,x
132,8,5,132,179,47,x
134,9,7,134,322,188,x
130,14,1,135,182,47,x
137,2,5,137,325,188,x
135,8,6,138,185,47,x
143,8,3,143,472,329,x
144,2,4,144,285,141,x
145,14,0,145,380,235,x
149,12,7,149,196,47,x
66,14,3,150,244,94,x
150,10,4,151,292,141,x
116,5,5,153,247,94,x
153,1,6,154,389,235,x
154,15,2,155,296,141,x
