1,6,1,1,377,376
2,7,2,2,143,141
3,13,7,3,50,47
4,1,4,4,98,94
5,11,6,5,52,47
6,14,3,6,288,282
7,9,5,7,242,235
8,12,5,8,149,141
9,4,4,9,291,282
11,8,0,11,152,141
12,13,1,12,59,47
10,9,2,13,107,94
15,5,6,15,156,141
16,15,0,16,63,47
14,13,4,17,158,141
18,1,7,18,159,141
20,0,2,20,67,47
19,15,3,21,303,282
22,12,4,22,116,94
13,13,6,23,117,94
23,1,0,24,165,141
24,9,0,25,213,188
25,4,2,26,261,235
26,11,4,27,74,47
21,12,7,28,75,47
28,14,2,29,170,141
30,10,1,30,124,94
32,15,2,32,126,94
27,11,0,33,127,94
31,14,0,34,363,329
34,6,0,35,82,47
38,11,2,38,226,188
39,5,4,39,86,47
29,14,4,40,87,47
37,6,5,41,370,329
41,3,7,42,418,376
36,11,7,43,137,94
40,5,0,44,91,47
42,0,5,45,327,282
46,7,4,46,93,47
47,15,7,47,282,235
43,3,3,48,142,94
49,13,3,49,237,188
48,8,4,50,285,235
50,0,0,51,239,188
51,15,1,52,146,94
52,4,7,53,3343,3290
54,6,6,54,101,47
55,2,1,55,384,329
56,7,0,56,150,94
57,11,5,57,104,47
33,13,1,59,106,47
60,2,3,60,107,47
62,5,3,62,250,188
63,1,1,63,392,329
67,5,1,67,349,282
68,12,2,68,209,141
69,3,4,69,116,47
71,9,4,71,353,282
73,4,3,73,308,235
74,5,7,74,215,141
77,13,0,77,453,376
78,10,3,78,360,282
45,6,0,82,176,94
82,12,1,83,130,47
83,15,5,84,366,282
86,0,7,86,321,235
87,0,3,91,185,94
93,14,4,93,187,94
95,15,4,95,142,47
88,0,6,96,331,235
96,10,2,97,191,94
91,1,4,98,192,94
100,9,3,100,335,235
101,14,5,101,148,47
102,8,7,102,478,376
103,13,5,103,150,47
105,9,6,105,340,235
106,5,5,106,153,47
108,7,7,108,343,235
90,13,1,109,203,94
107,9,1,110,298,188
111,2,3,111,299,188
112,5,4,112,394,282
81,12,4,116,257,141
44,13,6,117,211,94
117,7,1,118,306,188
119,0,2,119,401,282
70,3,4,120,449,329
120,4,0,121,168,47
123,10,0,123,264,141
126,3,5,126,267,141
58,11,0,127,315,188
128,10,1,128,222,94
129,14,6,129,317,188
131,0,4,131,272,141
132,8,5,132,414,282
134,9,7,134,322,188
130,14,1,135,370,235
137,2,5,137,372,235
135,8,6,138,185,47
59,3,3,142,377,235
143,8,3,143,519,376
144,2,4,144,426,282
65,7,2,145,192,47
149,12,7,149,196,47
75,7,0,150,385,235
150,10,4,151,198,47
116,5,5,153,200,47
153,1,6,154,295,141
154,15,2,155,202,47
157,2,2,157,486,329
17,13,4,158,299,141
35,5,6,159,347,188
159,15,6,160,301,141
158,8,1,161,396,235
161,12,5,162,303,141
160,13,5,163,351,188
109,1,0,165,212,47
165,8,0,166,401,235
166,4,6,167,214,47
168,3,6,168,450,282
152,14,2,170,452,282
174,6,6,174,550,376
61,6,0,179,226,47
179,4,1,180,415,235
181,8,2,181,275,94
175,6,2,184,231,47
189,4,5,189,236,47
190,12,3,190,472,282
139,10,2,191,238,47
141,1,4,192,521,329
193,3,1,193,428,235
79,7,2,194,335,141
195,5,0,195,242,47
203,7,6,203,344,141
204,6,4,204,251,47
205,10,6,205,3495,3290
207,7,3,208,443,235
209,3,0,209,256,47
80,12,2,210,351,141
118,13,6,211,352,141
182,1,0,212,541,329
176,4,6,214,308,94
104,5,7,215,309,94
216,11,1,216,498,282
211,13,1,217,264,47
217,9,0,218,312,94
220,12,0,220,502,282
191,10,1,222,316,94
223,7,5,223,505,282
226,11,5,226,508,282
225,7,4,228,275,47
222,6,2,231,513,282
53,11,2,232,279,47
232,11,4,237,284,47
162,10,2,238,520,282
186,0,0,239,380,141
239,5,0,242,289,47
243,9,5,243,431,188
240,0,1,244,432,188
246,13,2,246,481,235
251,14,7,251,298,47
254,15,4,254,536,282
255,1,7,255,349,94
257,10,7,257,492,235
99,12,4,258,305,47
84,4,2,261,637,376
259,12,1,263,357,94
265,1,3,265,3555,3290
206,3,5,267,596,329
268,9,2,268,409,141
140,0,4,272,319,47
273,15,2,273,649,376
274,4,5,274,321,47
275,5,5,275,369,94
276,3,0,276,417,141
245,7,4,277,324,47
278,1,5,278,607,329
267,11,4,284,378,94
187,8,4,285,332,47
288,4,0,288,476,188
66,14,3,289,430,141
208,4,4,293,340,47
293,6,7,294,435,141
297,11,6,297,532,235
295,14,7,298,392,94
264,9,1,299,393,94
122,2,3,300,347,47
302,6,4,302,443,141
200,12,5,303,632,329
301,14,5,304,492,188
304,13,1,305,681,376
300,11,2,306,494,188
94,15,3,307,354,47
228,12,4,308,590,282
219,4,6,309,497,188
146,5,7,310,545,235
238,7,1,311,358,47
313,6,3,313,360,47
97,4,3,314,502,188
127,11,0,315,409,94
316,8,2,316,363,47
235,14,6,317,458,141
319,1,2,319,366,47
177,0,4,320,555,235
291,4,5,321,368,47
136,9,7,322,463,141
270,7,4,324,418,94
322,1,6,325,466,141
236,0,7,326,514,188
321,9,0,327,515,188
261,0,6,331,519,188
202,8,4,332,567,235
98,7,2,335,3625,3290
285,9,3,336,524,188
230,4,4,340,716,376
184,9,6,341,623,282
340,0,3,342,436,94
326,7,6,344,485,141
344,12,6,345,627,282
346,5,3,346,534,188
224,2,3,347,394,47
64,5,6,351,445,94
121,13,6,352,540,188
155,12,2,353,400,47
114,15,3,354,495,141
292,9,4,355,590,235
352,10,5,356,591,235
357,13,5,357,404,47
348,2,6,358,546,188
359,7,7,359,547,188
147,5,1,360,689,329
314,6,3,361,455,94
172,10,3,362,456,94
354,13,3,363,504,141
145,14,0,364,552,188
242,7,1,365,459,94
341,1,2,366,460,94
366,10,4,367,555,188
358,4,5,368,650,282
272,15,5,369,510,141
133,14,1,370,558,188
369,11,3,371,512,141
151,2,5,372,607,235
89,6,5,373,561,188
375,8,2,375,657,282
138,3,3,377,424,47
164,6,1,378,425,47
386,12,1,386,715,329
170,1,1,392,533,141
371,9,1,393,581,188
342,2,3,394,629,235
125,5,4,395,489,94
393,15,0,396,537,141
323,8,1,397,679,282
196,12,2,400,682,282
400,6,0,401,542,141
286,8,0,402,590,188
404,15,1,404,592,188
298,9,2,409,785,376
249,11,0,410,692,282
210,8,5,414,555,141
349,4,1,415,462,47
311,3,0,417,464,47
271,7,4,418,559,141
420,10,0,420,514,94
256,3,7,422,610,188
227,6,1,425,754,329
167,2,4,426,755,329
424,3,2,427,474,47
197,14,3,430,524,94
305,9,5,431,572,141
430,8,6,432,573,141
416,0,1,433,480,47
194,3,1,434,481,47
338,6,7,435,717,282
364,0,3,438,720,282
188,3,3,439,533,94
442,7,0,442,677,235
328,6,4,443,537,94
318,5,6,445,586,141
333,7,3,447,588,141
72,3,4,449,496,47
450,2,1,450,591,141
178,14,2,452,546,94
185,13,0,453,500,47
454,0,2,454,689,235
452,6,3,455,549,94
180,10,3,456,503,47
451,2,0,457,786,329
252,14,6,458,740,282
250,7,1,459,506,47
